"Year","Month","Day","site","mean_temp_c","max_temp_c","min_temp_c"
2002,8,4,"NAPL",15.148,17.4,12.72
2002,8,5,"AQUE",15.108,16.97,13.56
2002,8,5,"CARP",14.6953,17,13.41
2002,8,5,"MOHK",15.3413,16.76,13.72
2002,8,5,"NAPL",14.9553,16.78,12.81
2002,8,6,"AQUE",15.1809,16.61,13.82
2002,8,6,"CARP",14.3151,15.94,13.41
2002,8,6,"MOHK",15.2996,16.58,14.01
2002,8,6,"NAPL",15.3352,16.34,13.06
2002,8,7,"AQUE",15.5202,16.79,13.99
2002,8,7,"CARP",14.8332,16.73,13.33
2002,8,7,"MOHK",15.5015,17.21,12.98
2002,8,7,"NAPL",15.6991,17.13,13.83
2002,8,8,"AQUE",15.1234,16.34,13.99
2002,8,8,"CARP",13.9461,15.08,12.98
2002,8,8,"MOHK",14.5527,16.81,12.87
